江门开平百汇1F接入1-POS11701-1:8-01  江门开平市御江澳园01家宽站-江门开平市御江澳园A座F0001PON
江门恩平东成1F接入1-POS10202-1:8-01  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0010PON
江门恩平东成1F接入1-POS10202-1:8-02  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0011PON
江门恩平东成1F接入1-POS10202-1:8-03  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0012PON
江门恩平东成1F接入1-POS10202-1:8-04  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0013PON
江门恩平东成1F接入1-POS10202-1:8-05  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0014PON
江门恩平东成1F接入1-POS10202-1:8-06  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0015PON
江门恩平东成1F接入1-POS10202-1:8-07  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0016PON
江门恩平东成1F接入1-POS10202-1:8-08  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0017PON
江门恩平东成1F接入1-POS10208-1:8-01  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0018PON
江门恩平东成1F接入1-POS10208-1:8-02  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0019PON
江门恩平东成1F接入1-POS10208-1:8-03  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0020PON
江门恩平东成1F接入1-POS10208-1:8-04  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0021PON
江门恩平东成1F接入1-POS10208-1:8-05  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0022PON
江门恩平东成1F接入1-POS10208-1:8-06  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0023PON
江门恩平东成1F接入1-POS10208-1:8-07  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0024PON
江门恩平东成1F接入1-POS10208-1:8-08  江门恩平市君堂镇672家宽站-江门恩平市君堂镇672家宽站F0025PON
江门台山台西路1F接入1-POS10404-2:32  江门台山台西路-江门台山通济路/GJ01F0002PON
江门台山台西路1F接入1-POS10807-1:8-01  江门台山通济路/GJ01-江门台山市西安路6号F0001PON
江门台山台西路1F接入1-POS10807-1:8-02  江门台山通济路/GJ01-江门台山市西濠路22号F0001PON
江门台山台西路1F接入1-POS10807-1:8-03  江门台山通济路/GJ01-江门台山市西安路24号F0001PON
江门台山台西路1F接入1-POS10807-1:8-04  江门台山通济路/GJ01-江门台山市人民路16号F0001PON
江门台山台西路1F接入1-POS10807-1:8-05  江门台山通济路/GJ01-江门台山市人民路16号F0002PON
江门台山台西路1F接入1-POS10807-1:8-06  江门台山通济路/GJ01-江门台山市环北大道55号F0001PON
江门台山台西路1F接入1-POS10807-1:8-07  江门台山通济路/GJ01-江门台山市人民路16号F0003PON
江门台山台西路1F接入1-POS10807-1:8-08  江门台山通济路/GJ01-江门台山市人民路17号F0001PON
江门台山台西路1F接入1-POS10808-1:8-01  江门台山通济路/GJ01-江门台山市人民路19号F0001PON
江门台山台西路1F接入1-POS11315-1:8-07  江门台山通济路/GJ01-江门台山通济路/GJ01F0007PON
江门台山台西路1F接入1-POS11405-1:8-01  江门台山台西/GJ08(迎朗路)-江门台山市革新路6号F0001PON
江门台山台西路1F接入1-POS11405-1:8-02  江门台山台西/GJ08(迎朗路)-江门台山市通济路56号F0001PON
江门台山台西路1F接入1-POS11405-1:8-03  江门台山台西/GJ08(迎朗路)-江门台山市通济路36号F0001PON
江门台山台西路1F接入1-POS11405-1:8-04  江门台山台西/GJ08(迎朗路)-江门台山市二塘路6号F0001PON
江门台山台西路1F接入1-POS11405-1:8-05  江门台山台西/GJ08(迎朗路)-江门台山市桔园路52号F0001PON
江门台山台西路1F接入1-POS11405-1:8-06  江门台山台西/GJ08(迎朗路)-江门台山市西濠路24号F0001PON
江门台山台西路1F接入1-POS11405-1:8-07  江门台山台西/GJ08(迎朗路)-江门台山市迎朗路20号F0001PON
江门台山台西路1F接入1-POS11405-1:8-08  江门台山台西/GJ08(迎朗路)-江门台山市二塘路27号F0001PON
江门台山台西路1F接入1-POS11407-1:8-01  江门台山台西/GJ08(迎朗路)-江门台山市桔园路28号F0001PON
江门台山台西路1F接入1-POS11407-1:8-03  江门台山台西/GJ08(迎朗路)-江门台山市桔园路9号F0001PON
江门台山台西路1F接入1-POS11407-1:8-04  江门台山台西/GJ08(迎朗路)-江门台山市云上比萨主题餐厅F0001PON
江门台山台西路1F接入1-POS11407-1:8-05  江门台山市台西/08(迎朗路)家宽站-江门台山市台西/08(迎朗路)家宽站F0010PON
江门台山台西路1F接入1-POS21803-1:8-02  江门台山市通济路/01家宽站-江门台山市台城镇西安路6号F0001PON
江门台山台西路1F接入1-POS21807-1:8-01  江门台山市台西/08(迎朗路)家宽站-江门台山市台西/08(迎朗路)家宽站F0002PON
